airline,reg,aircraft,age,origin,destination,direction,remarks
南航,B-2010,777-F1B,10.5,浦东,荷兰阿姆斯特丹,出口,
南航,B-2010,777-F1B,10.5,荷兰阿姆斯特丹,浦东,进口,
南航,B-2010,777-F1B,10.5,浦东,美国安克雷奇-美国芝加哥,出口,
南航,B-2010,777-F1B,10.5,美国芝加哥,深圳,进口,
南航,B-2010,777-F1B,10.5,浦东,加拿大温哥华-加拿大多伦多,出口,
南航,B-2010,777-F1B,10.5,加拿大多伦多,浦东,进口,
南航,B-2010,777-F1B,10.5,浦东,德国法兰克福,出口,
南航,B-2010,777-F1B,10.5,德国法兰克福,浦东,进口,
南航,B-2010,777-F1B,10.5,广州,美国安克雷奇-美国洛杉矶,出口,
南航,B-2010,777-F1B,10.5,美国洛杉矶,广州,进口,
南航,B-2010,777-F1B,10.5,重庆,德国法兰克福,出口,
南航,B-2010,777-F1B,10.5,德国法兰克福,浦东,进口,
南航,B-2010,777-F1B,10.5,广州,澳大利亚悉尼,出口,
南航,B-2010,777-F1B,10.5,澳大利亚悉尼,越南河内-浦东,进口,
南航,B-2010,777-F1B,10.5,浦东,美国芝加哥,出口,
南航,B-2010,777-F1B,10.5,美国芝加哥,深圳,进口,
南航,B-2010,777-F1B,10.5,深圳,德国法兰克福,出口,
南航,B-2010,777-F1B,10.5,德国法兰克福,广州,进口,
南航,B-2010,777-F1B,10.5,浦东,美国安克雷奇-墨西哥菲利普安吉利斯,出口,
南航,B-2010,777-F1B,10.5,墨西哥菲利普安吉利斯,浦东,进口,
南航,B-2026,777-F1B,10.1,广州,澳大利亚悉尼,出口,
南航,B-2026,777-F1B,10.1,澳大利亚悉尼,新西兰奥克兰-广州,进口,
南航,B-2026,777-F1B,10.1,广州,重庆-德国法兰克福,出口,
南航,B-2026,777-F1B,10.1,德国法兰克福,广州,进口,
南航,B-2026,777-F1B,10.1,广州,英国斯坦斯特德,出口,
南航,B-2026,777-F1B,10.1,英国斯坦斯特德,广州,进口,
南航,B-2026,777-F1B,10.1,广州,美国安克雷奇-美国洛杉矶,出口,
南航,B-2026,777-F1B,10.1,美国洛杉矶,广州,进口,
南航,B-2027,777-F1B,10.1,浦东,荷兰阿姆斯特丹,出口,
南航,B-2027,777-F1B,10.1,荷兰阿姆斯特丹,浦东,进口,
南航,B-2027,777-F1B,10.1,浦东,加拿大温哥华-加拿大多伦多,出口,
南航,B-2027,777-F1B,10.1,加拿大多伦多,浦东,进口,
南航,B-2027,777-F1B,10.1,浦东,美国安克雷奇-美国芝加哥,出口,
南航,B-2027,777-F1B,10.1,美国芝加哥,深圳,进口,
南航,B-2027,777-F1B,10.1,深圳,德国法兰克福,出口,
南航,B-2027,777-F1B,10.1,德国法兰克福,广州,进口,
南航,B-2027,777-F1B,10.1,广州,澳大利亚悉尼,出口,
南航,B-2027,777-F1B,10.1,澳大利亚悉尼,越南河内-浦东,进口,
南航,B-2028,777-F1B,10,广州,澳大利亚悉尼,出口,
南航,B-2028,777-F1B,10,澳大利亚悉尼,越南河内-浦东,进口,
南航,B-2028,777-F1B,10,浦东,美国安克雷奇-美国芝加哥,出口,
南航,B-2028,777-F1B,10,美国芝加哥,深圳,进口,
南航,B-2028,777-F1B,10,深圳,德国法兰克福,出口,
南航,B-2028,777-F1B,10,德国法兰克福,广州,进口,
南航,B-2028,777-F1B,10,浦东,荷兰阿姆斯特丹,出口,
南航,B-2028,777-F1B,10,荷兰阿姆斯特丹,浦东,进口,
南航,B-2028,777-F1B,10,浦东,德国法兰克福,出口,
南航,B-2028,777-F1B,10,德国法兰克福,广州,进口,
南航,B-2028,777-F1B,10,浦东,加拿大温哥华-加拿大多伦多,出口,
南航,B-2028,777-F1B,10,加拿大多伦多,浦东,进口,
南航,B-2028,777-F1B,10,广州,德国法兰克福,出口,
南航,B-2028,777-F1B,10,德国法兰克福,广州,进口,
南航,B-2041,777-F1B,12,浦东,德国法兰克福,出口,
南航,B-2041,777-F1B,12,德国法兰克福,广州,进口,
南航,B-2041,777-F1B,12,浦东,荷兰阿姆斯特丹,出口,
南航,B-2041,777-F1B,12,荷兰阿姆斯特丹,浦东,进口,
南航,B-2041,777-F1B,12,浦东,加拿大温哥华-加拿大多伦多,出口,
南航,B-2041,777-F1B,12,加拿大多伦多,浦东,进口,
南航,B-2041,777-F1B,12,浦东,美国安克雷奇-美国芝加哥,出口,
南航,B-2041,777-F1B,12,美国芝加哥,深圳,进口,
南航,B-2041,777-F1B,12,广州,重庆-德国法兰克福,出口,
南航,B-2041,777-F1B,12,德国法兰克福,广州,进口,
南航,B-2041,777-F1B,12,广州,澳大利亚悉尼,出口,
南航,B-2041,777-F1B,12,澳大利亚悉尼,越南河内-浦东,进口,
南航,B-2041,777-F1B,12,深圳,德国法兰克福,出口,
南航,B-2041,777-F1B,12,德国法兰克福,广州,进口,
南航,B-2042,777-F1B,11.9,浦东,荷兰阿姆斯特丹,出口,
南航,B-2042,777-F1B,11.9,荷兰阿姆斯特丹,浦东,进口,
南航,B-2042,777-F1B,11.9,广州,澳大利亚悉尼,出口,
南航,B-2042,777-F1B,11.9,澳大利亚悉尼,越南河内-浦东,进口,
南航,B-2042,777-F1B,11.9,南宁,越南河内,出口,
南航,B-2042,777-F1B,11.9,越南河内,浦东,进口,
南航,B-2042,777-F1B,11.9,浦东,加拿大温哥华-加拿大多伦多,出口,
南航,B-2042,777-F1B,11.9,加拿大多伦多,浦东,进口,
南航,B-2042,777-F1B,11.9,浦东,美国安克雷奇-美国芝加哥,出口,
南航,B-2042,777-F1B,11.9,美国芝加哥,浦东,进口,
南航,B-2042,777-F1B,11.9,浦东,德国法兰克福,出口,
南航,B-2042,777-F1B,11.9,德国法兰克福,广州,进口,
南航,B-2071,777-F1B,16.3,广州,匈牙利布达佩斯,出口,
南航,B-2071,777-F1B,16.3,匈牙利布达佩斯,广州,进口,
南航,B-2071,777-F1B,16.3,广州,阿联酋迪拜,出口,
南航,B-2071,777-F1B,16.3,阿联酋迪拜,广州,进口,
南航,B-2071,777-F1B,16.3,广州,英国斯坦斯特德,出口,
南航,B-2071,777-F1B,16.3,英国斯坦斯特德,广州,进口,
南航,B-2071,777-F1B,16.3,广州,沙特阿拉伯利雅得,出口,
南航,B-2071,777-F1B,16.3,沙特阿拉伯利雅得,深圳,进口,
南航,B-2071,777-F1B,16.3,浦东,美国洛杉矶,出口,
南航,B-2071,777-F1B,16.3,美国洛杉矶,浦东,进口,
南航,B-2072,777-F1B,16.3,深圳,美国安克雷奇-美国芝加哥,出口,
南航,B-2072,777-F1B,16.3,美国芝加哥,深圳,进口,
南航,B-2072,777-F1B,16.3,广州,英国斯坦斯特德,出口,
南航,B-2072,777-F1B,16.3,英国斯坦斯特德,广州,进口,
南航,B-2072,777-F1B,16.3,广州,阿联酋迪拜,出口,
南航,B-2072,777-F1B,16.3,阿联酋迪拜,广州,进口,
南航,B-2072,777-F1B,16.3,广州,沙特阿拉伯利雅得,出口,
南航,B-2072,777-F1B,16.3,沙特阿拉伯利雅得,深圳,进口,
南航,B-2072,777-F1B,16.3,广州,英国普雷斯蒂克,出口,
南航,B-2072,777-F1B,16.3,英国普雷斯蒂克,广州,进口,
南航,B-2073,777-F1B,15.8,广州,英国斯坦斯特德,出口,
南航,B-2073,777-F1B,15.8,英国斯坦斯特德,广州,进口,
南航,B-2073,777-F1B,15.8,深圳,美国安克雷奇-美国芝加哥,出口,
南航,B-2073,777-F1B,15.8,美国芝加哥,深圳,进口,
南航,B-2073,777-F1B,15.8,浦东,美国安克雷奇-美国芝加哥,出口,
南航,B-2073,777-F1B,15.8,美国芝加哥,深圳,进口,
南航,B-2073,777-F1B,15.8,广州,荷兰阿姆斯特丹,出口,
南航,B-2073,777-F1B,15.8,荷兰阿姆斯特丹,广州,进口,
南航,B-2073,777-F1B,15.8,广州,英国普雷斯蒂克,出口,
南航,B-2073,777-F1B,15.8,英国普雷斯蒂克,广州,进口,
南航,B-2073,777-F1B,15.8,广州,阿联酋迪拜,出口,
南航,B-2073,777-F1B,15.8,阿联酋迪拜,广州,进口,
南航,B-2075,777-F1B,15.7,广州,阿联酋迪拜,出口,
南航,B-2075,777-F1B,15.7,阿联酋迪拜,广州,进口,
南航,B-2075,777-F1B,15.7,广州,英国斯坦斯特德,出口,
南航,B-2075,777-F1B,15.7,英国斯坦斯特德,广州,进口,
南航,B-2075,777-F1B,15.7,广州,美国安克雷奇-美国纽约,出口,
南航,B-2075,777-F1B,15.7,美国纽约,广州,进口,
南航,B-2075,777-F1B,15.7,广州,哈尔滨-墨西哥菲利普安吉利斯,出口,
南航,B-2075,777-F1B,15.7,墨西哥菲利普安吉利斯,广州,进口,
南航,B-2080,777-F1B,13.6,广州,荷兰阿姆斯特丹,出口,
南航,B-2080,777-F1B,13.6,荷兰阿姆斯特丹,广州,进口,
南航,B-2080,777-F1B,13.6,广州,沙特阿拉伯利雅得,出口,
南航,B-2080,777-F1B,13.6,沙特阿拉伯利雅得,深圳,进口,
南航,B-2080,777-F1B,13.6,浦东,美国安克雷奇-美国芝加哥,出口,
南航,B-2080,777-F1B,13.6,美国芝加哥,浦东,进口,
南航,B-2080,777-F1B,13.6,广州,英国斯坦斯特德,出口,
南航,B-2080,777-F1B,13.6,英国斯坦斯特德,广州,进口,
南航,B-2081,777-F1B,14.9,广州,哈尔滨-墨西哥菲利普安吉利斯,出口,
南航,B-2081,777-F1B,14.9,墨西哥菲利普安吉利斯,广州,进口,
南航,B-2081,777-F1B,14.9,广州,匈牙利布达佩斯,出口,
南航,B-2081,777-F1B,14.9,匈牙利布达佩斯,广州,进口,
南航,B-2081,777-F1B,14.9,广州,荷兰阿姆斯特丹,出口,
南航,B-2081,777-F1B,14.9,荷兰阿姆斯特丹,广州,进口,
南航,B-2081,777-F1B,14.9,广州,重庆-荷兰阿姆斯特丹,出口,
南航,B-2081,777-F1B,14.9,荷兰阿姆斯特丹,广州,进口,
南航,B-2081,777-F1B,14.9,浦东,美国洛杉矶,出口,
南航,B-2081,777-F1B,14.9,美国洛杉矶,浦东,进口,
南航,B-20EM,777-F,5.3,浦东,荷兰阿姆斯特丹,出口,
南航,B-20EM,777-F,5.3,荷兰阿姆斯特丹,浦东,进口,
南航,B-20EM,777-F,5.3,广州,澳大利亚悉尼,出口,
南航,B-20EM,777-F,5.3,澳大利亚悉尼,越南河内-浦东,进口,
南航,B-20EM,777-F,5.3,浦东,加拿大温哥华-加拿大多伦多,出口,
南航,B-20EM,777-F,5.3,加拿大多伦多,浦东,进口,
南航,B-20EM,777-F,5.3,浦东,美国安克雷奇-美国芝加哥,出口,
南航,B-20EM,777-F,5.3,美国芝加哥,浦东,进口,
南航,B-20EN,777-F,5.3,浦东,美国洛杉矶,出口,
南航,B-20EN,777-F,5.3,美国洛杉矶,浦东,进口,
南航,B-20EN,777-F,5.3,浦东,美国安克雷奇-美国芝加哥,出口,
南航,B-20EN,777-F,5.3,美国芝加哥,深圳,进口,
南航,B-20EN,777-F,5.3,深圳,德国法兰克福,出口,
南航,B-20EN,777-F,5.3,德国法兰克福,广州,进口,
南航,B-20EN,777-F,5.3,广州,澳大利亚悉尼,出口,
南航,B-20EN,777-F,5.3,澳大利亚悉尼,广州,进口,
南航,B-222W,777-F,2.5,广州,重庆-荷兰阿姆斯特丹,出口,
南航,B-222W,777-F,2.5,荷兰阿姆斯特丹,广州,进口,
南航,B-222W,777-F,2.5,广州,英国普雷斯蒂克,出口,
南航,B-222W,777-F,2.5,英国普雷斯蒂克,广州,进口,
南航,B-222W,777-F,2.5,广州,沙特阿拉伯利雅得,出口,
南航,B-222W,777-F,2.5,沙特阿拉伯利雅得,深圳,进口,
南航,B-222W,777-F,2.5,广州,阿联酋迪拜,出口,
南航,B-222W,777-F,2.5,阿联酋迪拜,广州,进口,
南航,B-222W,777-F,2.5,广州,荷兰阿姆斯特丹,出口,
南航,B-222W,777-F,2.5,荷兰阿姆斯特丹,广州,进口,
南航,B-222W,777-F,2.5,广州,匈牙利布达佩斯,出口,
南航,B-222W,777-F,2.5,匈牙利布达佩斯,广州,进口,
南航,B-223G,777-F,2.3,广州,美国安克雷奇-美国纽约,出口,
南航,B-223G,777-F,2.3,美国纽约,广州,进口,
南航,B-223G,777-F,2.3,广州,沙特阿拉伯利雅得,出口,
南航,B-223G,777-F,2.3,沙特阿拉伯利雅得,深圳,进口,
南航,B-223G,777-F,2.3,广州,阿联酋迪拜,出口,
南航,B-223G,777-F,2.3,阿联酋迪拜,广州,进口,
南航,B-223G,777-F,2.3,广州,重庆-荷兰阿姆斯特丹,出口,
南航,B-223G,777-F,2.3,荷兰阿姆斯特丹,广州,进口,
南航,B-223G,777-F,2.3,广州,英国普雷斯蒂克,出口,
南航,B-223G,777-F,2.3,英国普雷斯蒂克,广州,进口,
南航,B-223G,777-F,2.3,广州,匈牙利布达佩斯,出口,
南航,B-223G,777-F,2.3,匈牙利布达佩斯,广州,进口,
南航,B-223N,777-F,2.1,浦东,美国洛杉矶,出口,
南航,B-223N,777-F,2.1,美国洛杉矶,浦东,进口,
南航,B-223N,777-F,2.1,浦东,美国安克雷奇-美国芝加哥,出口,
南航,B-223N,777-F,2.1,美国芝加哥,深圳,进口,
南航,B-223N,777-F,2.1,广州,英国普雷斯蒂克,出口,
南航,B-223N,777-F,2.1,英国普雷斯蒂克,广州,进口,
南航,B-223N,777-F,2.1,广州,美国安克雷奇-美国纽约,出口,
南航,B-223N,777-F,2.1,美国纽约,广州,进口,
南航,B-223N,777-F,2.1,广州,英国斯坦斯特德,出口,
南航,B-223N,777-F,2.1,英国斯坦斯特德,广州,进口,
南航,B-226C,777-F,0.6,广州,英国斯坦斯特德,出口,
南航,B-226C,777-F,0.6,英国斯坦斯特德,广州,进口,
南航,B-226C,777-F,0.6,广州,荷兰阿姆斯特丹,出口,
南航,B-226C,777-F,0.6,荷兰阿姆斯特丹,广州,进口,
南航,B-226C,777-F,0.6,广州,阿联酋迪拜,出口,
南航,B-226C,777-F,0.6,阿联酋迪拜,广州,进口,
南航,B-226C,777-F,0.6,广州,美国安克雷奇-美国纽约,出口,
南航,B-226C,777-F,0.6,美国纽约,广州,进口,
南航,B-226C,777-F,0.6,广州,匈牙利布达佩斯,出口,
南航,B-226C,777-F,0.6,匈牙利布达佩斯,广州,进口,
南航,B-226C,777-F,0.6,浦东,美国安克雷奇-美国芝加哥,出口,
南航,B-226C,777-F,0.6,美国芝加哥,深圳,进口,
南航,B-226D,777-F,0.5,广州,美国安克雷奇-美国纽约,出口,
南航,B-226D,777-F,0.5,美国纽约,广州,进口,
南航,B-226D,777-F,0.5,广州,匈牙利布达佩斯,出口,
南航,B-226D,777-F,0.5,匈牙利布达佩斯,广州,进口,
南航,B-226D,777-F,0.5,广州,重庆-荷兰阿姆斯特丹,出口,
南航,B-226D,777-F,0.5,荷兰阿姆斯特丹,广州,进口,
京东航空,B-221L,737-86N(BCF)(WL),18.3,成都,缅甸仰光,出口,
京东航空,B-221L,737-86N(BCF)(WL),18.3,缅甸仰光,成都,进口,
京东航空,B-221L,737-86N(BCF)(WL),18.3,南通,韩国首尔,出口,
京东航空,B-221L,737-86N(BCF)(WL),18.3,韩国首尔,南通,进口,
京东航空,B-221L,737-86N(BCF)(WL),18.3,南京,韩国首尔,出口,
京东航空,B-221L,737-86N(BCF)(WL),18.3,韩国首尔,南京,进口,
京东航空,B-221Q,737-86N(BCF)(WL),18.2,南通,韩国首尔,出口,
京东航空,B-221Q,737-86N(BCF)(WL),18.2,韩国首尔,南通,进口,
京东航空,B-221Q,737-86N(BCF)(WL),18.2,南京,韩国首尔,出口,
京东航空,B-221Q,737-86N(BCF)(WL),18.2,韩国首尔,南京,进口,
京东航空,B-221Q,737-86N(BCF)(WL),18.2,鄂州,泰国曼谷,出口,
京东航空,B-221Q,737-86N(BCF)(WL),18.2,泰国曼谷,鄂州,进口,
京东航空,B-221Q,737-86N(BCF)(WL),18.2,深圳,马来西亚吉隆坡,出口,
京东航空,B-221Q,737-86N(BCF)(WL),18.2,马来西亚吉隆坡,深圳,进口,
京东航空,B-221Q,737-86N(BCF)(WL),18.2,芜湖,越南河内,出口,
京东航空,B-221Q,737-86N(BCF)(WL),18.2,越南河内,芜湖,进口,
京东航空,B-224N,737-8Q8(BCF)(WL),18.3,深圳,马来西亚吉隆坡,出口,
京东航空,B-224N,737-8Q8(BCF)(WL),18.3,马来西亚吉隆坡,深圳,进口,
京东航空,B-224N,737-8Q8(BCF)(WL),18.3,深圳,泰国素万那普,出口,
京东航空,B-224N,737-8Q8(BCF)(WL),18.3,泰国素万那普,深圳,进口,
京东航空,B-224N,737-8Q8(BCF)(WL),18.3,深圳,菲律宾宿雾马克坦,出口,
京东航空,B-224N,737-8Q8(BCF)(WL),18.3,菲律宾宿雾马克坦,深圳,进口,
京东航空,B-224N,737-8Q8(BCF)(WL),18.3,芜湖,越南河内,出口,
京东航空,B-224N,737-8Q8(BCF)(WL),18.3,越南河内,芜湖,进口,
京东航空,B-224N,737-8Q8(BCF)(WL),18.3,南通,韩国首尔,出口,
京东航空,B-224N,737-8Q8(BCF)(WL),18.3,韩国首尔,南通,进口,
京东航空,B-224N,737-8Q8(BCF)(WL),18.3,南京,韩国首尔,出口,
京东航空,B-224N,737-8Q8(BCF)(WL),18.3,韩国首尔,南京,进口,
京东航空,B-225M,737-86N(BCF)(WL),18.3,深圳,泰国素万那普,出口,
京东航空,B-225M,737-86N(BCF)(WL),18.3,泰国素万那普,深圳,进口,
京东航空,B-225M,737-86N(BCF)(WL),18.3,深圳,马来西亚吉隆坡,出口,
京东航空,B-225M,737-86N(BCF)(WL),18.3,马来西亚吉隆坡,深圳,进口,
京东航空,B-225M,737-86N(BCF)(WL),18.3,南京,孟加拉达卡,出口,
京东航空,B-225M,737-86N(BCF)(WL),18.3,孟加拉达卡,南京,进口,
京东航空,B-225M,737-86N(BCF)(WL),18.3,芜湖,越南河内,出口,
京东航空,B-225M,737-86N(BCF)(WL),18.3,越南河内,芜湖,进口,
京东航空,B-225M,737-86N(BCF)(WL),18.3,深圳,菲律宾宿雾马克坦,出口,
京东航空,B-225M,737-86N(BCF)(WL),18.3,菲律宾宿雾马克坦,深圳,进口,
京东航空,B-226R,737-81B(BCF),19.3,芜湖,越南河内,出口,
京东航空,B-226R,737-81B(BCF),19.3,越南河内,芜湖,进口,
京东航空,B-226R,737-81B(BCF),19.3,深圳,菲律宾宿雾马克坦,出口,
京东航空,B-226R,737-81B(BCF),19.3,菲律宾宿雾马克坦,深圳,进口,
京东航空,B-226R,737-81B(BCF),19.3,深圳,泰国素万那普,出口,
京东航空,B-226R,737-81B(BCF),19.3,泰国素万那普,深圳,进口,
京东航空,B-226R,737-81B(BCF),19.3,无锡,韩国首尔,出口,
京东航空,B-226R,737-81B(BCF),19.3,韩国首尔,无锡,进口,
京东航空,B-226S,737-81B(BCF),19.2,深圳,菲律宾达沃,出口,
京东航空,B-226S,737-81B(BCF),19.2,菲律宾达沃,深圳,进口,
京东航空,B-5333,737-8FH(BCF)(WL),18,鄂州,菲律宾马尼拉,出口,
京东航空,B-5333,737-8FH(BCF)(WL),18,菲律宾马尼拉,鄂州,进口,
邮政航空,B-2135,B737-45R（BDSF）,27.1,杭州,日本东京,出口,
邮政航空,B-2135,B737-45R（BDSF）,27.1,日本东京,杭州,进口,
邮政航空,B-2513,B737-45R（BDSF）,27.3,杭州,日本东京,出口,
邮政航空,B-2513,B737-45R（BDSF）,27.3,日本东京,杭州,进口,
邮政航空,B-2887,B737-4Q8（SF）,29.2,杭州,日本东京,出口,
邮政航空,B-2887,B737-4Q8（SF）,29.2,日本东京,杭州,进口,
邮政航空,B-2892,B737-46J（SF）,29.1,杭州,日本东京,出口,
邮政航空,B-2892,B737-46J（SF）,29.1,日本东京,杭州,进口,
邮政航空,B-5131,B737-8Q8（BCF）,20.2,西安,韩国首尔,出口,
邮政航空,B-5131,B737-8Q8（BCF）,20.2,韩国首尔,西安,进口,
邮政航空,B-5131,B737-8Q8（BCF）,20.2,郑州,韩国首尔,出口,
邮政航空,B-5131,B737-8Q8（BCF）,20.2,韩国首尔,郑州,进口,
邮政航空,B-5132,B737-8Q8（BCF）,19.8,西安,韩国首尔,出口,
邮政航空,B-5132,B737-8Q8（BCF）,19.8,韩国首尔,西安,进口,
邮政航空,B-5132,B737-8Q8（BCF）,19.8,郑州,韩国首尔,出口,
邮政航空,B-5132,B737-8Q8（BCF）,19.8,韩国首尔,郑州,进口,
邮政航空,B-5156,B737-81Q（BCF）,23.2,义乌,菲律宾帕拉尼亚克,出口,
邮政航空,B-5156,B737-81Q（BCF）,23.2,菲律宾帕拉尼亚克,义乌,进口,
邮政航空,B-5156,B737-81Q（BCF）,23.2,义乌,日本大阪,出口,
邮政航空,B-5156,B737-81Q（BCF）,23.2,日本大阪,义乌,进口,
邮政航空,B-5156,B737-81Q（BCF）,23.2,义乌,菲律宾安赫莱斯,出口,
邮政航空,B-5156,B737-81Q（BCF）,23.2,菲律宾安赫莱斯,义乌,进口,
邮政航空,B-5157,B737-81Q（BCF）,22.7,郑州,韩国首尔,出口,
邮政航空,B-5157,B737-81Q（BCF）,22.7,韩国首尔,郑州,进口,
邮政航空,B-5157,B737-81Q（BCF）,22.7,福州,日本大坂,出口,
邮政航空,B-5157,B737-81Q（BCF）,22.7,日本大阪,福州,进口,
邮政航空,B-5157,B737-81Q（BCF）,22.7,泉州,菲律宾安赫莱斯,出口,
邮政航空,B-5157,B737-81Q（BCF）,22.7,菲律宾安赫莱斯,泉州,进口,
邮政航空,B-5160,B737-85C（BCF）,18.8,西安,韩国首尔,出口,
邮政航空,B-5160,B737-85C（BCF）,18.8,韩国首尔,西安,进口,
邮政航空,B-5160,B737-85C（BCF）,18.8,石家庄,日本东京,出口,
邮政航空,B-5160,B737-85C（BCF）,18.8,日本东京,石家庄,进口,
邮政航空,B-5161,B737-85C（BCF）,18.7,泉州,菲律宾安赫莱斯,出口,
邮政航空,B-5161,B737-85C（BCF）,18.7,菲律宾安赫莱斯,泉州,进口,
邮政航空,B-5161,B737-85C（BCF）,18.7,西安,韩国首尔,出口,
邮政航空,B-5161,B737-85C（BCF）,18.7,韩国首尔,西安,进口,
邮政航空,B-5161,B737-85C（BCF）,18.7,郑州,韩国首尔,出口,
邮政航空,B-5161,B737-85C（BCF）,18.7,韩国首尔,郑州,进口,
邮政航空,B-5162,B737-85C（BCF）,18.6,泉州,菲律宾安赫莱斯,出口,
邮政航空,B-5162,B737-85C（BCF）,18.6,菲律宾安赫莱斯,泉州,进口,
邮政航空,B-5162,B737-85C（BCF）,18.6,西安,韩国首尔,出口,
邮政航空,B-5162,B737-85C（BCF）,18.6,韩国首尔,西安,进口,
邮政航空,B-5162,B737-85C（BCF）,18.6,石家庄,日本东京,出口,
邮政航空,B-5162,B737-85C（BCF）,18.6,日本东京,石家庄,进口,
邮政航空,B-5179,B737-86N（BCF）,18.5,泉州,菲律宾安赫莱斯,出口,
邮政航空,B-5179,B737-86N（BCF）,18.5,菲律宾安赫莱斯,泉州,进口,
邮政航空,B-5179,B737-86N（BCF）,18.5,郑州,韩国首尔,出口,
邮政航空,B-5179,B737-86N（BCF）,18.5,韩国首尔,郑州,进口,
邮政航空,B-5179,B737-86N（BCF）,18.5,石家庄,日本东京,出口,
邮政航空,B-5179,B737-86N（BCF）,18.5,日本东京,石家庄,进口,
邮政航空,B-5301,B737-85C（BCF）,18.4,上海,日本大阪,出口,
邮政航空,B-5301,B737-85C（BCF）,18.4,日本大阪,上海,进口,
邮政航空,B-5301,B737-85C（BCF）,18.4,上海,日本东京,出口,
邮政航空,B-5301,B737-85C（BCF）,18.4,日本东京,上海,进口,
邮政航空,B-5301,B737-85C（BCF）,18.4,石家庄,日本东京,出口,
邮政航空,B-5301,B737-85C（BCF）,18.4,日本东京,石家庄,进口,
邮政航空,B-5301,B737-85C（BCF）,18.4,西安,韩国首尔,出口,
邮政航空,B-5301,B737-85C（BCF）,18.4,韩国首尔,西安,进口,
邮政航空,B-5302,B737-85C（BCF）,18.1,泉州,菲律宾安赫莱斯,出口,
邮政航空,B-5302,B737-85C（BCF）,18.1,菲律宾安赫莱斯,泉州,进口,
邮政航空,B-5302,B737-85C（BCF）,18.1,石家庄,日本东京,出口,
邮政航空,B-5302,B737-85C（BCF）,18.1,日本东京,石家庄,进口,
邮政航空,B-5302,B737-85C（BCF）,18.1,广州,菲律宾安赫莱斯,出口,
邮政航空,B-5302,B737-85C（BCF）,18.1,菲律宾安赫莱斯,广州,进口,
邮政航空,B-5303,B737-85C（BCF）,18.1,石家庄,日本东京,出口,
邮政航空,B-5303,B737-85C（BCF）,18.1,日本东京,石家庄,进口,
邮政航空,B-5303,B737-85C（BCF）,18.1,泉州,菲律宾安赫莱斯,出口,
邮政航空,B-5303,B737-85C（BCF）,18.1,菲律宾安赫莱斯,泉州,进口,
邮政航空,B-5303,B737-85C（BCF）,18.1,西安,韩国首尔,出口,
邮政航空,B-5303,B737-85C（BCF）,18.1,韩国首尔,西安,进口,
邮政航空,B-5305,B737-85C（BCF）,17.9,郑州,韩国首尔,出口,
邮政航空,B-5305,B737-85C（BCF）,17.9,韩国首尔,郑州,进口,
邮政航空,B-5305,B737-85C（BCF）,17.9,泉州,菲律宾安赫莱斯,出口,
邮政航空,B-5305,B737-85C（BCF）,17.9,菲律宾安赫莱斯,泉州,进口,
邮政航空,B-5306,B737-85C（BCF）,17.7,盐城,日本大阪,出口,
邮政航空,B-5306,B737-85C（BCF）,17.7,日本大阪,盐城,进口,
邮政航空,B-5307,B737-85C（BCF）,17.6,上海,日本大阪,出口,
邮政航空,B-5307,B737-85C（BCF）,17.6,日本大阪,上海,进口,
邮政航空,B-5307,B737-85C（BCF）,17.6,上海,日本东京,出口,
邮政航空,B-5307,B737-85C（BCF）,17.6,日本东京,上海,进口,
邮政航空,B-5550,B737-86N（BCF）,14.6,福州,日本大坂,出口,
邮政航空,B-5550,B737-86N（BCF）,14.6,日本大阪,福州,进口,
邮政航空,B-5550,B737-86N（BCF）,14.6,泉州,菲律宾安赫莱斯,出口,
邮政航空,B-5550,B737-86N（BCF）,14.6,菲律宾安赫莱斯,泉州,进口,
邮政航空,B-5550,B737-86N（BCF）,14.6,石家庄,日本东京,出口,
邮政航空,B-5550,B737-86N（BCF）,14.6,日本东京,石家庄,进口,
邮政航空,B-2813,B757-28S（PCF）,24.1,广州,孟加拉国达卡,出口,
邮政航空,B-2813,B757-28S（PCF）,24.1,孟加拉国达卡,广州,进口,
邮政航空,B-2813,B757-28S（PCF）,24.1,成都,孟加拉国达卡,出口,
邮政航空,B-2813,B757-28S（PCF）,24.1,孟加拉国达卡,成都,进口,
邮政航空,B-2831,B757-2Y0（PCF）,32.9,广州,孟加拉国达卡,出口,
邮政航空,B-2831,B757-2Y0（PCF）,32.9,孟加拉国达卡,广州,进口,
邮政航空,B-2831,B757-2Y0（PCF）,32.9,成都,孟加拉国达卡,出口,
邮政航空,B-2831,B757-2Y0（PCF）,32.9,孟加拉国达卡,成都,进口,
邮政航空,B-221X,B777-F,2.4,南京,卢森堡,出口,
邮政航空,B-221X,B777-F,2.4,卢森堡,南京,进口,
邮政航空,B-221X,B777-F,2.4,郑州,卢森堡,出口,
邮政航空,B-221X,B777-F,2.4,卢森堡,郑州,进口,
邮政航空,B-221Y,B777-F,2.1,南京,卢森堡,出口,
邮政航空,B-221Y,B777-F,2.1,卢森堡,南京,进口,
邮政航空,B-221Y,B777-F,2.1,郑州,卢森堡,出口,
邮政航空,B-221Y,B777-F,2.1,卢森堡,郑州,进口,
圆通航空,B-221A,B757-223（PCF）,26.2,乌鲁木齐,俄罗斯莫斯科,出口,
圆通航空,B-221A,B757-223（PCF）,26.2,俄罗斯莫斯科,乌鲁木齐,进口,
